hardly,'hɑrdli,,ad.几乎不；简直不；刚刚,人教初中八年级
ever,'ɛvɚ,,ad.在任何时候,人教初中八年级
hardly ever,,,很少；几乎从不；难得,人教初中八年级
once,wʌns,,ad.一次；曾经,人教初中八年级
twice,twaɪs,,ad.两次；两倍,人教初中八年级
Internet,'ɪntɚnɛt,,n.因特网,人教初中八年级
program,'proɡræm,,n.程序；节目；节目单；课程,人教初中八年级
full,fʊl,,a.满的；充满的；完全的,人教初中八年级
swing,swɪŋ,,n.摇摆；秋千 v.摇摆；旋转,人教初中八年级
swing dance,,,摇摆舞,人教初中八年级
maybe,'mebi,,ad.或许；也许；可能,人教初中八年级
least,list,,a.最小的；最少的,人教初中八年级
at least,,,至少,人教初中八年级
junk,dʒʌŋk,,n.垃圾；废旧杂物,人教初中八年级
junk food,,,n.垃圾食品；无营养食品,人教初中八年级
coffee,'kɔfi,,n.咖啡；咖啡色,人教初中八年级
health,hɛlθ,,n.健康；人的身体或精神状态,人教初中八年级
result,rɪ'zʌlt,,n.结果；后果,人教初中八年级
percent,pɚ'sɛnt,,a.百分之百的,人教初中八年级
online,'ɑn'laɪn,,a.在线的 ad.在线地,人教初中八年级
television,tɛləˌvɪʒən,,n.电视机；电视节目,人教初中八年级
although,ɔl'ðo,,conj.虽然；尽管；然而；可是,人教初中八年级
through,θru,,prep.穿过；一直到；凭借,人教初中八年级
mind,maɪnd,,n.头脑；想法；意见；心思,人教初中八年级
body,'bɑdi,,n.身体,人教初中八年级
such,sʌtʃ,,a.这样的；如此的,人教初中八年级
such as,,,例如；诸如,人教初中八年级
together,tə'ɡɛðɚ,,ad.共同；一起,人教初中八年级
die,daɪ,,v.死；枯竭；消失,人教初中八年级
writer,'raɪtɚ,,n.作者；作家,人教初中八年级
dentist,'dɛntɪst,,n.牙科医生,人教初中八年级
magazine,'mæɡəzin,,n.杂志,人教初中八年级
however,haʊ'ɛvɚ,,ad.然而；无论如何；不管多么,人教初中八年级
than,ðæn,,conj.比,人教初中八年级
more than,mɔr ðæn,,超过；多于；；不仅仅；非常,人教初中八年级
almost,'ɔlmost,,ad.几乎；差不多,人教初中八年级
none,nʌn,,pron.没有人；没有任何东西，毫无,人教初中八年级
less,lɛs,,a.更少的；较少的,人教初中八年级
less than,,,不到；少于,人教初中八年级
point,pɔɪnt,,n.看法；要点；重点；小数点；目标；分数,人教初中八年级
outgoing,'aʊt'goɪŋ,,a.外向的,人教初中八年级
better,'bɛtɚ,,a.更好的；较好的 ad.更好地,人教初中八年级
loudly,'laʊdli,,ad.大声地；高声地；花俏地,人教初中八年级
quietly,ˈkwaɪətli,,ad.安静地；悄悄地；平静地,人教初中八年级
hard-working,ˈhɑːdˈwɜːkɪŋ,,a.勤勉的；努力工作的,人教初中八年级
competition,",kɑmpə'tɪʃən",,n.竞争；比赛,人教初中八年级
fantastic,fæn'tæstɪk,,a.极好的；了不起的,人教初中八年级
which,wɪtʃ,,pron.哪一个；哪些,人教初中八年级
clearly,'klɪrli,,ad.清楚地；显然地,人教初中八年级
win,wɪn,,v.赢；赢得；获胜；获得 n.胜利,人教初中八年级
though,ðo,,conj.虽然；尽管； ad.不过,人教初中八年级
talented,'tæləntɪd,,a.有才能的；有天赋的,人教初中八年级
truly,ˈtruːli,,ad.真实地；真诚地；正确地,人教初中八年级
care,kɛr,,v.在乎；关心；担忧；照顾,人教初中八年级
care about,,,关心,人教初中八年级
serious,'sɪrɪəs,,a.严重的；严肃的；庄重的,人教初中八年级
mirror,'mɪrɚ,,n.镜子；反映,人教初中八年级
kid,kɪd,,n.孩子，小孩,人教初中八年级
as long as,,,只要,人教初中八年级
necessary,ˈnɛsəˌsɛri,,a.必要的；必然的,人教初中八年级
be different from,,,和...不同,人教初中八年级
both,boθ,,pron.两者,人教初中八年级
bring out,,,拿出；推出,人教初中八年级
grade,ɡred,,n.成绩,人教初中八年级
should,ʃəd; strong form ʃʊd,,aux.应该；应当；可能；将要,人教初中八年级
the same as,,,与...同样的,人教初中八年级
saying,'seɪŋ,,n.名言,人教初中八年级
reach,ritʃ,,v.到达；伸出；达成；取得联系；延伸；(伸手)去够,人教初中八年级
hand,hænd,,n.手,人教初中八年级
touch,tʌtʃ,,v.触摸；感动,人教初中八年级
heart,hɑrt,,n.心脏；内心,人教初中八年级
fact,fækt,,n.事实；真相；实际,人教初中八年级
in fact,,,事实上；实际上,人教初中八年级
break,brek,,v.打碎；折断；违背；结束; 打破 (困难或不快的情形),人教初中八年级
arm,ɑrm,,n.胳膊,人教初中八年级
laugh,læf,,v.发笑；笑 n.笑声；笑；笑料,人教初中八年级
share,ʃɛr,,v.分享，共享；共有；分配,人教初中八年级
loud,laʊd,,a.大声的 ad.大声地；响亮地,人教初中八年级
similar,'sɪməlɚ,,a.类似的,人教初中八年级
be similar to,,,类似于；与...相似,人教初中八年级
primary,'praɪmɛri,,a.小学教育的，初级教育的；原始的；最初的,人教初中八年级
primary school,,,n.小学,人教初中八年级
information,'ɪnfɚ'meʃən,,n.信息；情报；资料,人教初中八年级
theater,'θiətɚ,,n.剧场；电影院；戏院,人教初中八年级
comfortable,ˈkʌmfɚtəbl,,a.舒适的；充裕的,人教初中八年级
seat,sit,,n.座位,人教初中八年级
screen,skrin,,n.屏幕；银幕,人教初中八年级
close,kloz,,v.关；合拢；不开放；停业（暂时性或永久性）,人教初中八年级
ticket,'tɪkɪt,,n.票,人教初中八年级
worst,wɝst,,a.最坏的；最差的,人教初中八年级
cheaply,'tʃi:pli,,ad.廉价地；,人教初中八年级
song,sɔŋ,,n.歌曲；歌唱,人教初中八年级
choose,tʃuz,,v.选择；决定,人教初中八年级
carefully,'kɛrfəli,,ad.小心地，认真地,人教初中八年级
reporter,rɪ'pɔrtɚ,,n.记者,人教初中八年级
so far,,,到目前为止；迄今为止,人教初中八年级
fresh,frɛʃ,,a.新的；新做的；新增的；新鲜的；清新的,人教初中八年级
comfortably,'kʌmftəbli,,ad.舒服地；充裕地；容易地,人教初中八年级
worse,wɜrs,,a.更坏的；更差的,人教初中八年级
service,'sɝvɪs,,n.公共服务系统，公共服务；公共事业机构,人教初中八年级
pretty,ˈprɪtɪ,,ad.相当地 a.漂亮的,人教初中八年级
menu,'mɛnju,,n.菜单,人教初中八年级
act,ækt,,v.行动；表演,人教初中八年级
meal,mil,,n.一餐；膳食,人教初中八年级
creative,krɪ'etɪv,,a.创造的，创造性的；,人教初中八年级
performer,pɚ'fɔrmɚ,,n.表演者；执行者,人教初中八年级
talent,'tælənt,,n.天赋；才能，才艺；,人教初中八年级
common,'kɑmən,,a.常见的；共同的；普通的,人教初中八年级
have…in common,,,有相同特征,人教初中八年级
magician,mə'dʒɪʃən,,n.魔术师；术士,人教初中八年级
all kinds of,ɔl kaɪndz əv,,各种各样；各种类型,人教初中八年级
beautifully,'bju:təfli,,ad.美丽地；完美地；,人教初中八年级
be up to,,,是…….的职责；由…….决定,人教初中八年级
role,rol,,n.作用；角色,人教初中八年级
play a role,,,发挥作用；有影响,人教初中八年级
winner,'wɪnɚ,,n.获胜者,人教初中八年级
prize,praɪz,,n.奖品；奖金,人教初中八年级
everybody,'ɛvrɪbɑdi,,pron.每人；人人,人教初中八年级
make up,,,编造,人教初中八年级
example,ɪg'zæmpl,,n.例子；榜样,人教初中八年级
for example,fɔr ɪɡˈzæmpəl,,例如,人教初中八年级
poor,pʊər; pʊr,,a.贫穷的；可怜的,人教初中八年级
seriously,'sɪrɪəsli,,ad.严重地；严肃地,人教初中八年级
take…seriously,,,认真对待......,人教初中八年级
give,ɡɪv,,v.给；赠予；送,人教初中八年级
crowded,'kraʊdɪd,,a.拥挤的,人教初中八年级
sitcom,'sɪtkɑm,,n.情景喜剧（situation comedy的缩写）,人教初中八年级
situation comedy,,,n.情景喜剧,人教初中八年级
news,nuz,,n.消息；新闻,人教初中八年级
soap,sop,,n.肥皂,人教初中八年级
soap opera,,,n.肥皂剧,人教初中八年级
educational,",ɛdʒu'keʃənl",,a.教育的；有教育意义的,人教初中八年级
plan,plæn,,n.计划 v.打算；计划,人教初中八年级
hope,hop,,v.希望；期望；盼望 n.希望,人教初中八年级
find out,,,查明、弄清,人教初中八年级
discussion,dɪ'skʌʃən,,n.讨论；谈论,人教初中八年级
stand,stænd,,v.站立；忍受,人教初中八年级
happen,'hæpən,,v.发生；碰巧,人教初中八年级
may,me,,modal.可能，也许；可以，能够,人教初中八年级
expect,ɪk'spɛkt,,v.预期；期待；盼望,人教初中八年级
joke,dʒok,,n.笑话；玩笑 v.说笑话；开玩笑,人教初中八年级
comedy,'kɑmədi,,n.喜剧,人教初中八年级
meaningless,'minɪŋləs,,a.无意义的；不重要的,人教初中八年级
action,'ækʃən,,n.行动；行为,人教初中八年级
action movie,,,n.动作片,人教初中八年级
cartoon,kɑr'tun,,n.卡通；漫画,人教初中八年级
culture,'kʌltʃɚ,,n.文化,人教初中八年级
famous,'feməs,,a.著名的；有名的,人教初中八年级
appear,ə'pɪr,,v.似乎；显得；出现,人教初中八年级
become,bɪ'kʌm,,v.变成；成为,人教初中八年级
rich,rɪtʃ,,a.富有的；富饶的；丰富的,人教初中八年级
successful,sək'sɛsfl,,a.成功的；圆满的,人教初中八年级
might,maɪt,,modal.可能；也许；may的过去式,人教初中八年级
main,meɪn,,a.主要的；最重要的,人教初中八年级
reason,ˈrizən,,n.原因；理由,人教初中八年级
comedy.,'kɑmədi,,n.喜剧,人教初中八年级
film,fɪlm,,n.电影,人教初中八年级
unlucky,ʌn'lʌki,,a.倒霉的；不幸的；不吉利的,人教初中八年级
lose,luz,,v.丢失；失败,人教初中八年级
girlfriend,'ɡɝlfrɛnd,,n.女朋友,人教初中八年级
ready,'rɛdi,,a.准备好的；乐意的,人教初中八年级
be ready to,,,愿意做某事,人教初中八年级
character,'kærɪktɚ,,n.个性；品质；人物,人教初中八年级
simple,'sɪmpl,,a.简单的；朴素的；单纯的,人教初中八年级
dress up,drɛs ʌp,,装扮；乔装打扮,人教初中八年级
take sb.’s place,,,代替；替换,人教初中八年级
army,'ɑrmi,,n.军队；陆军；一大批,人教初中八年级
do a good job,,,工作干得好；做得好,人教初中八年级
grow up,,,长大；成长,人教初中八年级
computer programmer,,,n.计算机管理员,人教初中八年级
cook,kʊk,,v.烹调，煮，烧，做(饭),人教初中八年级
doctor,'dɑktɚ,,n.医生,人教初中八年级
engineer,",ɛndʒɪ'nɪr",,n.工程师,人教初中八年级
violinist,",vaɪə'lɪnɪst",,n.小提琴手,人教初中八年级
driver,'draɪvɚ,,n.驾驶员；驱动程序,人教初中八年级
pilot,'paɪlət,,n.飞行员,人教初中八年级
pianist,'pɪənɪst,,n.钢琴家,人教初中八年级
scientist,'saɪəntɪst,,n.科学家,人教初中八年级
be sure about,,,确信,人教初中八年级
make sure,mek ʃʊər,,确保,人教初中八年级
college,'kɑlɪdʒ,,n.大学,人教初中八年级
education,",ɛdʒu'keʃən",,n.教育,人教初中八年级
medicine,ˈmedɪsn; mɛdəsn,,n.药；医学,人教初中八年级
university,",junɪ'vɝsəti",,n.大学，高等学府,人教初中八年级
London,,,n.伦敦,人教初中八年级
article,'ɑrtɪkl,,n.文章，论文,人教初中八年级
send,sɛnd,,v.邮寄，发送,人教初中八年级
resolution,",rɛzə'luʃən",,n.决定；决心,人教初中八年级
team,tim,,n.(一)队(人)；(一)组(人),人教初中八年级
foreign,'fɔrən,,a.外国的,人教初中八年级
able,'ebl,,a.聪明能干的，能力出众的,人教初中八年级
be able to,,,能够做某事,人教初中八年级
question,'kwɛstʃən,,n.问题,人教初中八年级
meaning,'minɪŋ,,n.意义,人教初中八年级
discuss,dɪ'skʌs,,v.讨论，商量,人教初中八年级
promise,'prɑmɪs,,v.承诺，诺言 n.诺言,人教初中八年级
beginning,bɪ'ɡɪnɪŋ,,n.开头，开端,人教初中八年级
at the beginning of,,,起初,人教初中八年级
improve,ɪm'pruv,,改进，改善,人教初中八年级
write down,,,写下,人教初中八年级
physical,'fɪzɪkl,,a.身体的,人教初中八年级
themselves,ðɛm'sɛlvz,,pron.他们自己,人教初中八年级
have to do with,,,关于;与……有关系,人教初中八年级
self-improvement,,,n.自我改进，自我提高,人教初中八年级
take up,,,学着做；开始做,人教初中八年级
hobby,'hɑbi,,n.业余爱好,人教初中八年级
weekly,'wikli,,a.每周的 n.周刊 ad.每周一次；逐周,人教初中八年级
school work,,,n.学校作业,人教初中八年级
agree,ə'ɡri,,v.同意；赞成,人教初中八年级
agree with,,,同意,人教初中八年级
own,on,,pron.自己的，本人的 v.拥有,人教初中八年级
personal,'pɝsənl,,a.个人的，私人的,人教初中八年级
relationship,rɪ'leʃən'ʃɪp,,n.关系,人教初中八年级
paper,'pepɚ,,n.纸,人教初中八年级
pollution,pə'luʃən,,n.污染；污染物,人教初中八年级
prediction,prɪ'dɪkʃən,,n.预测,人教初中八年级
future,ˈfjutʃɚ,,n.未来,人教初中八年级
pollute,pə'lut,,v.污染,人教初中八年级
environment,ɪn'vaɪrənmənt,,n.环境,人教初中八年级
planet,'plænɪt,,n.行星,人教初中八年级
earth,ɝθ,,n.地球；泥土,人教初中八年级
plant,plænt,,n.植物 v.种植,人教初中八年级
part,pɑrt,,n.部分；参加,人教初中八年级
play a part,,,参与（某事）,人教初中八年级
peace,pis,,n.和平,人教初中八年级
sea,si,,n.海；海洋；；许多；大量（与of连用）,人教初中八年级
sky,skaɪ,,n.天空,人教初中八年级
astronaut,'æstrəˌnɔt,,n.宇航员,人教初中八年级
apartment,ə'pɑrtmənt,,n.公寓,人教初中八年级
rocket,'rɑkɪt,,n.火箭；,人教初中八年级
space,spes,,n.空间；太空,人教初中八年级
space station,,,n.太空站,人教初中八年级
human,'hjumən,,a.人的 n.人；人类,人教初中八年级
servant,'sɝvənt,,n.仆人,人教初中八年级
dangerous,'dendʒərəs,,a.危险的,人教初中八年级
already,ɔl'rɛdi,,ad.已经,人教初中八年级
factory,'fæktri,,n.工厂,人教初中八年级
over and over again,,,多次；反复地,人教初中八年级
believe,bɪ'liv,,v.相信,人教初中八年级
disagree,",dɪsə'ɡri",,v.不同意,人教初中八年级
even,'ivən,,ad.甚至；愈加,人教初中八年级
hundreds of,,,许多 ；大量； 成百上千,人教初中八年级
shape,ʃep,,n.形状,人教初中八年级
fall,fɔl,,v.摔倒；跌倒,人教初中八年级
fall down,,,突然倒下；跌倒；倒塌,人教初中八年级
inside,'ɪn'saɪd,,n.里面；内部；内脏 a.里面的；内部的；秘密的；内幕的 ad.在里面 prep.在……之内,人教初中八年级
look for,,,寻找；寻求,人教初中八年级
possible,'pɑsəbl,,可能的,人教初中八年级
impossible,ɪm'pɑsəbl,,a.不可能的；不可能存在的；难以忍受的；难以忍受的 n.不可能；不可能的事,人教初中八年级
side,saɪd,,n.侧面；旁边；方面 v.支持；同意，支持 a.旁的，侧的,人教初中八年级
probably,'prɑbəbli,,ad.大概；或许；很可能,人教初中八年级
during,'dʊrɪŋ,,prep.在……的时候，在……的期间,人教初中八年级
holiday,'hɑləde,,n.假日,人教初中八年级
word,wɝd,,n.字；词；单词,人教初中八年级
shake,ʃek,,v.摇动；震动；动摇；发抖 n.摇动；哆嗦,人教初中八年级
milk shake,,,n.奶昔（牛奶和冰淇淋等的混合饮料）,人教初中八年级
blender,'blɛndɚ,,n.搅拌器；果汁机,人教初中八年级
turn on,tɝ​n ɑn,,打开,人教初中八年级
peel,pil,,v.削皮；剥落,人教初中八年级
pour,pɔr,,v.倒；倾倒,人教初中八年级
yogurt,'joɡət,,n.酸奶；,人教初中八年级
honey,'hʌni,,n.蜂蜜,人教初中八年级
watermelon,'wɔtɚmɛlən,,n.西瓜,人教初中八年级
spoon,spun,,n.勺，调羹,人教初中八年级
pot,pɑt,,n.壶；盆；罐 v.把……装罐,人教初中八年级
add,æd,,v.增加,人教初中八年级
finally,'faɪnlɪ,,ad.最后，最终,人教初中八年级
salt,sɔlt,,n.盐,人教初中八年级
sugar,'ʃʊgɚ,,n.糖,人教初中八年级
cheese,tʃiz,,n.干酪，奶酪,人教初中八年级
popcorn,'pɑpkɔrn,,n.爆米花,人教初中八年级
corn,kɔrn,,n.谷物；玉米,人教初中八年级
machine,mə'ʃin,,n.机器,人教初中八年级
dig,dɪɡ,,v.挖，掘；探究 n.挖苦；刺；戳,人教初中八年级
hole,hol,,n.洞，孔；洞穴，穴 v.（高尔夫球等）进洞 凿洞,人教初中八年级
sandwich,'sænwɪtʃ,,n.三明治,人教初中八年级
butter,'bʌtɚ,,n.黄油，奶油,人教初中八年级
turkey,'tɝki,,n.火鸡,人教初中八年级
lettuce,'lɛtɪs,,n.莴苣，生菜,人教初中八年级
piece,pis,,n.件；篇；片；块；,人教初中八年级
Thanksgiving,"'θæŋks,ɡiviŋ; ,θæŋks'ɡ-",,n.感恩节,人教初中八年级
traditional,trə'dɪʃənl,,a.传统的,人教初中八年级
autumn,'ɔtəm,,n.秋天 a.秋天的，秋季的,人教初中八年级
traveler,'trævlɚ,,n.旅行者,人教初中八年级
England,'iŋɡlənd,,n.英格兰；英国,人教初中八年级
celebrate,sɛləˌbret,,v.庆祝；庆贺,人教初中八年级
mix,mɪks,,v.混淆；使混和；配制 n.混合；混合物；混乱,人教初中八年级
pepper,'pɛpɚ,,n.胡椒粉；椒类,人教初中八年级
fill,fɪl,,v.装满，使充满；满足；任职,人教初中八年级
oven,ˈʌvən,,n.烤箱；烤炉,人教初中八年级
plate,pleɪt,,n.碟；金属牌；金属板 v.镀上（金或银）,人教初中八年级
cover,'kʌvɚ,,v.遮盖，盖,人教初中八年级
gravy,'ɡrevi,,n.肉汁；肉汤,人教初中八年级
serve,sɝv,,n.接待，服务,人教初中八年级
temperature,ˈtempərtʃʊər; tɛmpɚ-ˌtʃʊr,,n.温度，气候,人教初中八年级
prepare,prɪ'pɛr,,v.预备；准备,人教初中八年级
prepare for,,,为……准备,人教初中八年级
exam,ɪg'zæm,,n.考试,人教初中八年级
flu,flu,,n.流感,人教初中八年级
available,ə'veləbl,,a.可得到的；有空的,人教初中八年级
another time,,,其他时间，别的时间,人教初中八年级
until,ən'tɪl,,conj.在…之前；直到…时 prep.在…之前；到…为止,人教初中八年级
hang,hæŋ,,悬挂,人教初中八年级
hang out,,,常去某处；泡在某处,人教初中八年级
catch,kætʃ,,抓住；捕捉,人教初中八年级
invite,ɪn'vaɪt,,v.邀请,人教初中八年级
accept,əkˈsɛpt,,v.接受；,人教初中八年级
refuse,ri'fjʊz,,v.拒绝,人教初中八年级
the day before yesterday,,,前天,人教初中八年级
the day after tomorrow,,,后天,人教初中八年级
weekday,'wikde,,n.工作日,人教初中八年级
look after,,,照顾，照料,人教初中八年级
invitation,ˌɪnvɪˈteɪʃn,,n.邀请；邀请函,人教初中八年级
turn down,,,减小，关小，调低,人教初中八年级
reply,rɪ'plai,,v.回答，回复,人教初中八年级
forward,'fɔrwɚd,,ad.向前,人教初中八年级
delete,dɪ'lit,,v.删除,人教初中八年级
print,prɪnt,,n.印刷的文字；印花布 v.印刷；打印；刊载,人教初中八年级
sad,sæd,,a.难过的；悲哀的，令人悲痛的,人教初中八年级
goodbye,gʊd'baɪ,,int.再见,人教初中八年级
take a trip,,,去旅行,人教初中八年级
glad,ɡlæd,,a.高兴的；乐意的 v.使...高兴,人教初中八年级
preparation,",prɛpə'reʃən",,n.准备；准备工作（用复数形式）,人教初中八年级
glue,ɡlu,,v.粘合；盯着某物看（后接to） n.胶；各种胶合物,人教初中八年级
without,wɪðˈaʊt,,prep.没有,人教初中八年级
surprised,sɚ'praɪzd,,a.感到惊讶的 v.使惊奇（surprise的过去分词形式）,人教初中八年级
look forward to,,,盼望，期待,人教初中八年级
hear from,,,收到......来信,人教初中八年级
housewarming,"'haʊs,wɔrmɪŋ",,n.乔迁庆宴,人教初中八年级
opening,'opənɪŋ,,n.开幕式，落成典礼,人教初中八年级
concert,'kɑnsɚt,,n.音乐会,人教初中八年级
headmaster,",hɛd'mæstɚ",,n.男校长,人教初中八年级
event,ɪ'vɛnt,,n.大事；公开活动,人教初中八年级
guest,ɡɛst,,n.客人,人教初中八年级
calendar,'kæləndɚ,,n.日历；日程表,人教初中八年级
daytime,'detaɪm,,n.日间，白天,人教初中八年级
meeting,'mitɪŋ,,n.会议；集会；会见 v.会面；会合（meet的ing形式）,人教初中八年级
video,'vɪdɪo,,n.录像；录像带,人教初中八年级
potato chips,,,n.马铃薯片；油炸薯片,人教初中八年级
chocolate,ˈtʃɑkələt,,n.巧克力,人教初中八年级
upset,ʌp'sɛt,,a.难过的，失望的,人教初中八年级
taxi,'tæksi,,v.滑行；乘出租车；用出租车送 n.出租汽车,人教初中八年级
advice,ədˈvaɪs,,n.劝告，建议,人教初中八年级
travel,'trævl,,v.旅行；走过（某距离）；（以某速度）行进,人教初中八年级
agent,'edʒənt,,n.代理人，经纪人,人教初中八年级
expert,"'ɛkspɝt; (for adj., also) ɛksˈpɝt ; ɪkˈspɝt",,n.专家，能手,人教初中八年级
keep…to oneself,,,保守秘密,人教初中八年级
teenager,'tinedʒɚ,,n.青少年,人教初中八年级
normal,'nɔrml,,a.正常的,人教初中八年级
unless,ən'lɛs,,conj.除非，如果不,人教初中八年级
certainly,'sɝtnli,,ad.当然，肯定,人教初中八年级
wallet,'wɑlɪt,,n.皮夹，钱包,人教初中八年级
mile,maɪl,,n.英里；较大的距离,人教初中八年级
angry,ˈæŋgrɪ,,a.生气的，发怒的,人教初中八年级
understanding,",ʌndɚ'stændɪŋ",,a.善解人意的，体谅人的,人教初中八年级
careless,'kɛrləs,,a.粗心的，不小心的,人教初中八年级
mistake,mɪ'stek,,n.错误，失误,人教初中八年级
himself,,,pron.他自己；他亲自，他本人,人教初中八年级
careful,'kɛrfl,,a.小心的；细致的，周密的,人教初中八年级
advise,əd'vaɪz,,v.劝告，建议,人教初中八年级
solve,sɑlv,,v.解决；解答,人教初中八年级
step,stɛp,,n.步，脚步；步伐；步骤；梯级 v.踏，踩；走；走，迈步,人教初中八年级
trust,trʌst,,n.相信，信任,人教初中八年级
experience,ɪk'spɪrɪəns,,n.经验；经历,人教初中八年级
in half,,,"分成两半,一半",人教初中八年级
halfway,",hæf'we",,ad.中途地；半路地,人教初中八年级
else,ɛls,,a.别的，其他的 ad.还能有别的……,人教初中八年级
matter,'mætɚ,,v.重要，要紧，有关系,人教初中八年级
What’s the matter?,,,怎么了？出什么事了？,人教初中八年级
sore,sɔr,,a.疼痛的，酸痛的,人教初中八年级
have a cold,,,感冒,人教初中八年级
stomach,'stʌmək,,n.胃；腹部,人教初中八年级
stomachache,"'stʌmək,ek",,n.胃痛，腹痛,人教初中八年级
have a stomachache,,,胃痛,人教初中八年级
foot,fʊt,,n.脚(复数feet),人教初中八年级
neck,nɛk,,n.颈，脖子,人教初中八年级
throat,θrot,,n.喉咙,人教初中八年级
fever,'fivɚ,,n.发烧，发热,人教初中八年级
lie,laɪ,,v.躺，平躺,人教初中八年级
lie down,,,躺下,人教初中八年级
rest,rɛst,,n.放松，休息；剩余部分，其余,人教初中八年级
cough,kɔf,,v.咳嗽 n.咳嗽,人教初中八年级
X-ray,'eksreɪ,,n.X光，X射线,人教初中八年级
toothache,'tuθek,,n.牙痛,人教初中八年级
take one's temperature,,,量体温,人教初中八年级
headache,ˈhɛdˌek,,n.头痛,人教初中八年级
have a fever,,,发烧,人教初中八年级
break,brek,,v.打破；休息；中断,人教初中八年级
take breaks,,,休息(take a break）,人教初中八年级
hurt,hɝ​t,,v.伤害，使受伤；损害,人教初中八年级
passenger,pæsndʒɚ,,n.乘客，旅客,人教初中八年级
off,ɔf,,ad.离开（某处）；从…去掉,人教初中八年级
get off,,,下车,人教初中八年级
to one's surprise,,,使…惊讶，出乎…意料,人教初中八年级
onto,"ˈɑnˌtu, -tə, ˈɔn-",,prep.向，朝,人教初中八年级
trouble,'trʌbl,,n.麻烦，烦扰，问题,人教初中八年级
hit,hɪt,,v.打；碰撞；打击,人教初中八年级
right away,,,立即，马上,人教初中八年级
get into,,,参与；陷入,人教初中八年级
herself,hɝ'sɛlf,,pron.她自己，她本身（she的反身代词）,人教初中八年级
bandage,'bændɪdʒ,,n.绷带 v.用绷带包扎,人教初中八年级
sick,sɪk,,a.患病的，不适的,人教初中八年级
knee,ni,,n.膝盖,人教初中八年级
nosebleed,'nozblid,,n.鼻出血,人教初中八年级
breathe,brið,,v.呼吸,人教初中八年级
sunburned,'sʌnbə:nd,,a.晒伤的,人教初中八年级
