big,bɪɡ,,a.大的；重要的；量大的 ad.大量地；顺利；夸大地 n.(Big)人名；(土)比格,初中
bike,baɪk,,n.自行车；脚踏车 v.骑自行车（或摩托车）,初中
bill,bɪl,,n.[法] 法案；广告；账单；[金融] 票据；钞票；清单 v.宣布；开账单；用海报宣传,初中
bird,bɝd,,n.鸟；家伙；羽毛球 v.向…喝倒彩；起哄,初中
birth,bɝθ,,n.出生；血统，出身；起源,初中
birthday,'bɝθde,,n.生日，诞辰；诞生的日子,初中
biscuit,'bɪskɪt,,n.小点心，饼干,初中
bit,bɪt,,n.[计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt.控制 a.很小的；微不足道的 ad.有点儿；相当,初中
bitter,'bɪtɚ,,a.苦的；痛苦的；尖刻的；充满仇恨的 n.苦味；苦啤酒 ad.激烈地；严寒刺骨地 v.使变苦,初中
black,blæk,,a.黑色的；黑人的；邪恶的 n.黑色；黑人；黑颜料 v.使变黑；把鞋油等涂在…上；把（眼眶）打成青肿,初中
blackboard,'blækbɔrd,,n.黑板,初中
blind,blaɪnd,,a.盲目的；瞎的 ad.盲目地；看不见地 n.掩饰，借口；百叶窗 v.使失明；使失去理智,初中
blood,blʌd,,n.血，血液；血统 v.从…抽血；使先取得经验,初中
blue,blu,,n.蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） a.蓝色的；沮丧的，忧郁的；下流的 v.把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于,初中
board,bɔrd,,n.董事会；木板；甲板；膳食 v.上（飞机、车、船等）；用板盖上；给提供膳宿,初中
boat,bot,,n.小船；轮船 v.划船,初中
body,'bɑdi,,n.身体；主体；大量；团体；主要部分 v.赋以形体,初中
book,bʊk,,n.书籍；卷；帐簿；名册；工作簿 v.预订；登记,初中
boring,'bɔrɪŋ,,a.无聊的；令人厌烦的 n.钻孔 v.钻孔；使厌烦；挖空（bore的ing形式）,初中
born,bɔrn,,v.出世（bear的过去分词） a.天生的 n.(Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩,初中
borrow,'bɑro,,v.借；借用；从其他语言中引入 n.(Borrow)人名；(英)博罗,初中
boss,bɑs,,n.老板；首领；工头 v.指挥，调遣；当…的领导,初中
both,boθ,,a.两个的；两者的 ad.并；又；两者皆 pron.双方都；两者都 conj.既…且… n.(Both)人名；(德、罗、捷、南非、匈)博特,初中
bottle,'bɑtl,,n.瓶子；一瓶的容量 v.控制；把…装入瓶中,初中
bottom,'bɑtəm,,n.底部；末端；臀部；尽头 a.底部的 v.装底；测量深浅；查明真相,初中
bowl,bol,,n.碗；木球；大酒杯 v.玩保龄球；滑动；平稳快速移动,初中
box,bɑks,,n.箱，盒子；包厢；一拳 v.拳击,初中
boy,bɔɪ,,n.男孩；男人,初中
brain,bren,,n.头脑，智力；脑袋 v.猛击…的头部,初中
brave,brev,,a.勇敢的；华丽的 v.勇敢地面对 n.勇士,初中
bread,brɛd,,n.面包；生计 v.在…上洒面包屑,初中
breakfast,'brɛkfəst,,n.早餐；早饭 v.吃早餐,初中
breath,brɛθ,,n.呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音,初中
breathe,brið,,v.呼吸；低语；松口气；（风）轻拂,初中
bridge,brɪdʒ,,n.桥；桥牌；桥接器；船桥 v.架桥；渡过,初中
bright,braɪt,,a.明亮的，鲜明的；聪明的；愉快的 ad.明亮地；光明地；欢快地 n.车头灯光,初中
brother,'brʌðɚ,,n.兄弟；同事；战友 int.我的老兄！,初中
brown,braʊn,,a.棕色的，褐色的；太阳晒黑的 v.变成褐色 n.褐色，棕色,初中
brush,brʌʃ,,n.刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴 v.刷；画；,初中
building,'bɪldɪŋ,,n.建筑；建筑物 v.建筑；建立；增加（build的ing形式）,初中
bus,bʌs,,n.公共汽车,初中
business,ˈbɪznəs,,n.商业；[贸易] 生意；[贸易] 交易；事情,初中
busy,'bɪzi,,a.忙碌的；热闹的；正被占用的 v.使忙于 n.(Busy)人名；(匈)布希；(法)比西,初中
but,bʌt,,conj.但是；而是；然而 ad.仅仅，只 prep.除…以外 n.(But)人名；(俄、罗)布特；(越)笔,初中
butter,'bʌtɚ,,v.涂黄油于；讨好 n.黄油；奶油；奉承话,初中
butterfly,'bʌtɚflaɪ,,n.蝴蝶；蝶泳；举止轻浮的人；追求享乐的人,初中
by,baɪ,,prep.通过；被；依据；经由；在附近；在……之前 ad.通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名,初中
bye,baɪ,,int.再见 n.轮空；次要的东西 a.次要的,初中
cabbage,ˈkæbɪdʒ,,n.卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）,初中
cake,kek,,n.蛋糕；块状物；利益总额 v.使结块,初中
call,kɔl,,v.呼叫；拜访；叫牌 n.电话；呼叫；要求；访问,初中
camel,'kæml,,n.[畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 a.驼色的；暗棕色的 vi.工作刻板平庸,初中
camera,'kæmərə,,n.照相机；摄影机,初中
camp,kæmp,,v.露营；扎营 n.露营,初中
can,kæn,,v.将…装入密封罐中保存 aux.能； 能够； 可以； 可能 n.罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头,初中
Canada,'kænədə,,n.加拿大（北美洲国家）,初中
cancel,'kænsl,,v.取消；删去 n.取消，撤销,初中
candle,'kændl,,n.蜡烛；烛光；烛形物 v.对着光检查,初中
cancer,'kænsɚ,,n.癌症；恶性肿瘤,初中
candy,'kændi,,v.用糖煮；使结晶为砂糖；美化 n.糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 a.新潮的（服饰）；甜言蜜语的,初中
cap,kæp,,n.盖；帽子 v.脱帽致意,初中
capital,'kæpɪtl,,n.首都，省会；资金；大写字母；资本家 a.首都的；重要的；大写的,初中
captain,ˈkæptən,,n.队长，首领；船长；上尉；海军上校 v.指挥；率领,初中
car,kɑr,,n.汽车；车厢,初中
card,kɑrd,,n.卡片；纸牌；明信片 v.记于卡片上,初中
care,kɛr,,n.关怀；照料；谨慎；忧虑 v.照顾；关心；喜爱；顾虑,初中
careful,'kɛrfl,,a.仔细的，小心的,初中
careless,'kɛrləs,,a.粗心的；无忧无虑的；淡漠的 n.(Careless)人名；(英)凯尔利斯,初中
carry,'kæri,,v.拿，扛；携带；支持；搬运 n.运载；[计] 进位；射程,初中
cat,kæt,,n.猫，猫科动物,初中
cause,kɔz,,n.原因；事业；目标 v.引起；使遭受,初中
CD,",si: 'di:",,abbr.光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）,初中
ceiling,'silɪŋ,,n.天花板；上限,初中
celebrate,'sɛlɪbret,,v.庆祝；举行；赞美；祝贺；宣告,初中
cent,sɛnt,,n.分；一分的硬币；森特（等于半音程的百分之一）,初中
centre,sɛntɚ,,v.以…为中心 n.中心 a.中央的,初中
century,'sɛntʃəri,,n.世纪，百年；（板球）一百分,初中
certain,'sɝtn,,a.某一；必然的；确信；无疑的；有把握的 pron.某些；某几个 n.(Certain)人名；(葡)塞尔塔因；(法)塞尔坦,初中
chair,tʃɛr,,n.椅子；讲座；（会议的）主席位；大学教授的职位 v.担任（会议的）主席；使…入座；使就任要职,初中
chairman,'tʃɛrmən,,n.主席，会长；董事长,初中
chalk,tʃɔk,,v.用粉笔写；用白垩粉擦；记录；规划 n.粉笔；白垩；用粉笔划的记号 a.用粉笔写的,初中
chance,tʃæns,,n.机会，际遇；运气，侥幸；可能性 v.偶然发生；冒……的险,初中
change,tʃendʒ,,v.改变；交换 n.变化；找回的零钱,初中
chant,tʃænt,,n.圣歌；赞美诗 v.唱；诵扬,初中
cheap,tʃip,,a.便宜的；小气的；不值钱的 ad.便宜地,初中
cheat,tʃit,,v.欺骗；骗取 n.欺骗，作弊；骗子,初中
check,tʃɛk,,v.检查，核对；制止，抑制；在…上打勾 n.<美>支票；制止，抑制；检验，核对,初中
cheer,tʃɪr,,v.欢呼；使高兴；为…加油 n.欢呼；愉快；心情；令人愉快的事,初中
cheese,tʃiz,,n.[食品] 奶酪；干酪；要人 v.停止 a.叛变的；胆小的,初中
chemistry,'kɛmɪstri,,n.化学；化学过程,初中
chess,tʃɛs,,n.国际象棋，西洋棋,初中
chest,tʃɛst,,n.胸，胸部；衣柜；箱子；金库,初中
chicken,ˈtʃɪkən,,n.鸡肉；小鸡；胆小鬼，懦夫 a.鸡肉的；胆怯的；幼小的,初中
China,tʃaɪnə,,n.中国 a.中国的；中国制造的,初中
Chinese,",tʃai'ni:z",,n.中文，汉语；中国人 a.中国的，中国人的；中国话的,初中
chocolate,'tʃɑklət,,n.巧克力，巧克力糖；巧克力色 a.巧克力色的；巧克力口味的,初中
choice,tʃɔɪs,,n.选择；选择权；精选品 a.精选的；仔细推敲的,初中
chopsticks,"'tʃɑp,stɪks",,n.筷子,初中
Christmas,ˈkrɪsməs,,n.圣诞节；圣诞节期间,初中
church,tʃɝtʃ,,n.教堂；礼拜；教派 a.教会的；礼拜的 v.领…到教堂接受宗教仪式,初中
cinema,'sɪnəmə,,n.电影；电影院；电影业，电影制作术,初中
circle,'sɝkl,,n.循环，周期；圆；圈子；圆形物 v.盘旋，旋转；环行,初中
city,'sɪti,,n.城市，都市 a.城市的；都会的,初中
clap,klæp,,v.鼓掌，拍手；啪地关上 n.鼓掌；拍手声,初中
class,klæs,,n.阶级；班级；种类；班；等级 v.分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级 a.极好的；很好的，优秀的，出色的,初中
classmate,'klæsmet,,n.同班同学,初中
classroom,'klæs'rʊm; 'klæs'rʊm,,n.教室,初中
clean,klin,,a.清洁的，干净的；清白的 v.使干净 ad.完全地 n.打扫,初中
clear,klɪr,,a.清楚的；清澈的；晴朗的；无罪的 v.通过；清除；使干净；跳过 ad.清晰地；完全地 n.清除；空隙,初中
clever,'klɛvɚ,,a.聪明的；机灵的；熟练的,初中
climb,klaɪm,,v.爬；攀登；上升 n.爬；攀登,初中
clock,klɑk,,n.时钟；计时器 v.记录；记时,初中
clone,klon,,n.克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物 v.无性繁殖，复制,初中
close,kloz,,a.紧密的；亲密的；亲近的 v.关；结束；使靠近 ad.紧密地 n.结束,初中
clothes,kloz,,n.衣服,初中
cloud,klaʊd,,n.云；阴云；云状物；一大群；黑斑 v.使混乱；以云遮敝；使忧郁；玷污,初中
cloudy,'klaʊdi,,a.多云的；阴天的；愁容满面的,初中
club,klʌb,,n.俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v.用棍棒打；募集 a.俱乐部的,初中
coach,kotʃ,,n.教练；旅客车厢；长途公车；四轮大马车 v.训练；指导,初中
coal,kol,,v.上煤；加煤 n.煤；煤块；木炭,初中
coast,kost,,v.滑行；沿岸航行 n.海岸；滑坡,初中
coat,kot,,n.外套 v.覆盖…的表面,初中
coffee,'kɔfi,,n.咖啡；咖啡豆；咖啡色,初中
coin,kɔɪn,,v.铸造（货币）；杜撰，创造 n.硬币，钱币,初中
coke,kok,,n.焦炭；可卡因；可口可乐（Coca-Cola） v.焦化,初中
cold,kold,,a.寒冷的；冷淡的，不热情的；失去知觉的 n.寒冷；感冒 ad.完全地,初中
collect,kə'lɛkt,,v.收集；募捐 ad.由收件人付款地 a.由收件人付款的 n.(Collect)人名；(英)科莱克特,初中
college,'kɑlɪdʒ,,n.大学；学院；学会,初中
comfortable,'kʌmftəbl,,a.舒适的，舒服的 n.盖被,初中
common,'kɑmən,,a.共同的；普通的；一般的；通常的 n.普通；平民；公有地,初中
communicate,kə'mjunɪket,,v.通讯，传达；相通；交流；感染,初中
communication,"kə,mjunɪ'keʃən",,n.通讯，[通信] 通信；交流；信函,初中
company,'kʌmpəni,,n.公司；陪伴，同伴；连队 v.交往,初中
compare,kəm'pɛr,,n.比较 v.比拟，喻为；[语]构成,初中
competition,",kɑmpə'tɪʃən",,n.竞争；比赛，竞赛,初中
complete,kəm'plit,,a.完整的；完全的；彻底的 v.完成,初中
composition,",kɑmpə'zɪʃən",,n.作文，作曲，作品；[材] 构成；合成物；成分,初中
computer,kəm'pjutɚ,,n.计算机；电脑；电子计算机,初中
concert,'kɑnsɚt,,n.音乐会；一致；和谐 v.使协调；协同安排 a.音乐会用的；在音乐会上演出的,初中
condition,kən'dɪʃən,,n.条件；情况；环境；身份 v.决定；使适应；使健康；以…为条件,初中
conference,'kɑnfərəns,,n.会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会 vi.举行或参加（系列）会议,初中
connect,kə'nɛkt,,v.连接；联合；关连,初中
continue,kən'tɪnju,,v.继续，延续；仍旧，连续,初中
control,kən'trol,,n.控制；管理；抑制；操纵装置 v.控制；管理；抑制,初中
conversation,",kɑnvɚ'seʃən",,n.交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话,初中
cook,kʊk,,v.烹调，煮 n.厨师，厨子,初中
cooker,'kʊkɚ,,n.炊具；烹饪用水果；窜改者,初中
cool,kul,,a.凉爽的；冷静的；出色的 v.使…冷却；使…平静下来 n.凉爽；凉爽的空气 ad.冷静地,初中
copy,'kɑpi,,v.复制；复印；抄袭 n.副本；一册；摹仿,初中
corner,'kɔrnɚ,,n.角落，拐角处；地区，偏僻处；困境，窘境 v.囤积；相交成角,初中
correct,kə'rɛkt,,v.改正；告诫 a.正确的；恰当的；端正的,初中
cotton,'kɑtn,,n.棉花；棉布；棉线 v.一致；理解；和谐；亲近 a.棉的；棉制的,初中
cough,kɔf,,n.咳嗽，咳嗽声；咳嗽病 v.咳出,初中
could,kʊd,,aux.能够 v.能（can的过去式）,初中
count,kaʊnt,,v.计算；认为 n.计数；计算；伯爵,初中
country,'kʌntri,,n.国家，国土；国民；乡下，农村；乡村；故乡 a.祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的,初中
countryside,'kʌntrɪsaɪd,,n.农村，乡下；乡下的全体居民,初中
couple,'kʌpl,,n.对；夫妇；数个 v.结合；成婚,初中
courage,'kɝrɪdʒ,,n.勇气；胆量,初中
course,kɔrs,,n.科目；课程；过程；进程；道路；路线，航向；一道菜 v.追赶；跑过,初中
cousin,'kʌzn,,n.堂兄弟姊妹；表兄弟姊妹,初中
cover,'kʌvɚ,,v.包括；采访，报导；涉及 n.封面，封皮；盖子；掩蔽物;幌子，借口,初中
cow,kaʊ,,n.奶牛，母牛；母兽 v.威胁，恐吓,初中
crayon,ˈkreɪən; ˈkreɪˌɑn,,n.蜡笔，有色粉笔 v.以蜡笔作画，用颜色粉笔画,初中
crazy,'krezi,,a.疯狂的；狂热的，着迷的,初中
create,krɪ'et,,v.创造，创作；造成,初中
cross,krɔs,,n.交叉，十字；十字架，十字形物 v.交叉；杂交；横过 a.交叉的，相反的；乖戾的；生气的,初中
cruel,'kruəl,,a.残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的,初中
cry,kraɪ,,v.叫喊；哭出；大声说 n.叫喊；叫声；口号；呼叫,初中
culture,'kʌltʃɚ,,n.文化，文明；修养；栽培 v.[细胞][微] 培养（等于cultivate）,初中
cup,kʌp,,n.杯子；奖杯；酒杯 v.使成杯状；为…拔火罐,初中
daily,'delɪ,,a.日常的；每日的 n.日报；朝来夜去的女佣 ad.日常地；每日；天天,初中
dance,dæns,,n.舞蹈；舞会；舞曲 v.跳舞；跳跃；飘扬 a.舞蹈的；用于跳舞的,初中
danger,'dendʒɚ,,n.危险；危险物，威胁,初中
dangerous,'dendʒərəs,,a.危险的,初中
dare,dɛr,,n.挑战；挑动 v.敢冒；不惧,初中
dark,dɑrk,,a.黑暗的，深色的；模糊的；无知的；忧郁的 n.黑暗；夜；黄昏；模糊,初中
date,det,,n.日期；约会；年代；枣椰子 v.过时；注明日期；始于（某一历史时期）,初中
daughter,'dɔtɚ,,n.女儿；[遗][农学] 子代 a.女儿的；子代的,初中
day,de,,n.一天；时期；白昼 ad.每天；经常在白天地 a.日间的；逐日的,初中
dead,dɛd,,a.无生命的；呆板的；废弃了的 ad.完全地 n.死者,初中
deaf,dɛf,,a.聋的,初中
deal,dil,,v.处理；给予；分配；发牌 n.交易；（美）政策；待遇；份量,初中
dear,dɪr,,a.亲爱的；尊敬的；昂贵的 ad.高价地；疼爱地 int.哎呀 n.亲爱的人,初中
death,dɛθ,,n.死；死亡；死神；毁灭,初中
December,dɪ'sɛmbɚ,,n.十二月,初中
decide,dɪ'saɪd,,v.决定；解决；判决,初中
decision,dɪ'sɪʒn,,n.决定，决心；决议,初中
deep,dip,,n.深处；深渊 a.深的；低沉的；深奥的 ad.深入地；深深地；迟,初中
delicious,dɪ'lɪʃəs,,a.美味的；可口的,初中
dentist,'dɛntɪst,,n.牙科医生,初中
depend,dɪ'pɛnd,,v.依赖，依靠；取决于；相信，信赖,初中
describe,dɪ'skraɪb,,v.描述，形容；描绘,初中
develop,dɪ'vɛləp,,v.开发；进步；使成长；使显影,初中
development,dɪ'vɛləpmənt,,n.发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影,初中
dialogue,'daɪəlɑɡ,,n.对话；意见交换 vi.对话 vt.用对话表达,初中
diary,'daɪəri,,n.日志，日记；日记簿,初中
dictionary,'dɪkʃə'nɛri,,n.字典；词典,初中
die,daɪ,,v.死亡；凋零；熄灭 n.冲模，钢模；骰子,初中
difference,'dɪfrəns,,n.差异；不同；争执,初中
different,'dɪfrənt,,a.不同的；个别的，与众不同的,初中
